track_id,artist_location,artist_latitude,artist_longitude
TRASQIB128F426693D,The Bronx/ New York,nan,nan
TRANRIK128F148C860,St. Joseph/ MO,nan,nan
TRAZOSB128F9302A07,Los Angeles/ CA,nan,nan
TRAZDPO128E078ECE6,Boston/ MA,nan,nan
TRAZSVJ128E0785129,,nan,nan
TRBAFBU128F427EFCE,London/ England,nan,nan
TRBDAVU128F423814A,Sayreville/ NJ,nan,nan
TRATCDG128F932B4D2,Seattle/ Washington,nan,nan
TRAGDLM128F4233397,,nan,nan
TRAFTFF128F930F77C,,nan,nan
TRATOHC128EF3460DA,Borlänge,nan,nan
TRBFEIX128F426A5F8,Newcastle,nan,nan
TRALLQX12903CD838C,Chicago/ IL,41.88415,-87.63241
TRBEBVZ128F425A660,Newton-le-Willows/ Merseyside/ England,53.45644,-2.63265
TRBICGT128E0792473,,nan,nan
TRAEPAW128F4285BAB,,nan,nan
TRAPGOC128F932F01A,West London/ England,nan,nan
TRBFJGB128F42612B1,Houston/ TX,nan,nan
TRALTKQ128F932DA67,Berlin/ Germany,52.51607,13.37698
TRAFAQY12903CA70F7,Detroit/ MI,42.33168,-83.04792
TRAEOOH128F934ACD4,Antarctica,nan,nan
TRAPCNK128F427D7B5,Antibes/ France,43.58015,7.12123
TRAUGRD128F425E997,,nan,nan
TRAKHUW12903CF0048,Norway,64.55653,12.66538
TRAYUCR128E078EE0F,London/ England,nan,nan
TRASIKP128F423EED7,London/ England,nan,nan
TRAOJZC128F14932D5,Crawley/ England,51.11655,-0.18703
TRAKORW128F1484DF0,Los Angeles &amp; New York,nan,nan
TRANUME128E0789D4C,New York/ NY,40.71455,-74.00712
TRAUYOD128F42647FE,,nan,nan
TRABLYQ128F429A9F8,,nan,nan
TRARDUI12903CBF6B6,,nan,nan
TRBEHGH128E078DEDE,Philadelphia/ Pennsylvania/ U.S.,39.95227,-75.16237
TRAMLZC128F92F3EB9,New York NY,nan,nan
TRASIWA12903CFFC4D,St. Mary's/ Jamaica,nan,nan
TRANSYV128F428A00C,Galloway/ Panola County/ TX,32.20049,-94.35887
TRAVGZS128F9338603,Itawamba County/ MS,34.27611,-88.35068
TRARFQL128F931E523,Hacienda Heights/ CA,33.99363,-117.97092
TRAILUH128E0784D6D,St. Louis/ MO,nan,nan
TRASXHB128F933D3BD,Boston/ MA,nan,nan
TRAESJK128E0792227,St. Joseph/ MO,nan,nan
TRAJOIH128F14B08F7,ITALY,nan,nan
TRASUJK128E0789C12,,nan,nan
TRADKLT128F9304E1D,Brooklyn/ NY,40.71455,-74.00712
TRAAWOR128F92DF3C8,Scotland,56.65286,-3.99667
TRARTSA128F4291550,Madison/ Wisconsin,43.07295,-89.38669
TRAQTOS128F428E94B,,nan,nan
TRAERPT128F931103E,London/ England,51.50632,-0.12714
TRAAHEG128E07861C3,Newark/ NJ,nan,nan
TRAEGGV128F92F29B2,GERMANY,nan,nan
TRBBKLD128F424ABF5,Louisiana,nan,nan
TRAGBHV128F4295074,Miami/ Florida,nan,nan
TRAXXIT128F4263075,Brazil/ IN,39.52517,-87.1187
TRBBJFO12903D074EE,Los Angeles/ CA,nan,nan
TRAXAZZ128F4255FAF,,nan,nan
TRBIHAU128F425C317,Amherst/ MA,nan,nan
TRAZZLJ128E07945F2,,nan,nan
TRAJXNB128F4261F43,Carle Place/ New York,nan,nan
TRAYXPS128F422842E,New York/ NY,40.71455,-74.00712
TRATHTH128F42BC347,Nashville/ Tennessee,36.16778,-86.77836
TRBHYTA128F93425AC,,nan,nan
TRAWRWK128F4260B37,,nan,nan
TRAINYU128F4246BD1,Oxford/ England,nan,nan
TRBAZYH128F4288198,,nan,nan
TRAVBAH128F9305DFC,New York,40.71455,-74.00712
TRAILKS128F14A3AC9,,nan,nan
TRAATNJ128F42631BA,Bakersfield/ CA,nan,nan
TRAOCOE128F4276D18,London/ England,51.52328,-0.21346
TRABLGI128F42B867A,Orange County/ CA,33.6671,-117.76505
TRAJLOY128F92E4EAF,Toronto/ Ontario/ Canada,43.64856,-79.38533
TRAWVWS128F42ADCD1,,nan,nan
TRAEUIW12903D018F0,Galveston/ TX,nan,nan
TRAWPBO128F933D918,,nan,nan
TRBCYOI128F1455566,New York/ NY,nan,nan
TRARDJY128F14750EA,Los Angeles/ CA,nan,nan
TRAOJMY128E07836D9,New York,40.71455,-74.00712
TRANVZT128F42AE134,Austin/ TX,nan,nan
TRARUTP128E0797FC7,Los Angeles/ CA,34.05349,-118.24532
TRAUZFY128F42BCE57,,nan,nan
TRAWOHD128F148D176,Chicago/ IL,nan,nan
TRATYJI128F4255D27,Denmark,56.27609,9.51695
TRAVELY128F42606F8,Queens/ NY,nan,nan
TRAADQX128F422B4CF,,nan,nan
TRBCGRI128F93355E9,Glasgow/ Scotland,nan,nan
TRBGWEG12903CFF7EE,Virginia,nan,nan
TRBAHJW128F92CC8B4,Jyväskylä/ Finland,62.24049,25.75129
TRADSVJ12903C9CDFA,London/ England,51.50632,-0.12714
TRAPMYO128F14903F5,,nan,nan
TRAVCNA128F930975C,Sweden,nan,nan
TRAUOPA128F93537F2,Syracuse/ NY,nan,nan
TRAPASL128F422BC00,Providence/ RI,nan,nan
TRAGJQL128E078E840,Timmins/ Ontario/ Canada,nan,nan
TRATHFM128F148ADD4,Los Angeles/ CA,34.05349,-118.24532
TRATGTP128F427021D,Brooklyn/ NY,nan,nan
TRAGDPS128F145F8EE,Los Angeles/ CA,nan,nan
TRAVYHI12903CB95EC,Thaba Nchu,-29.21545,26.83776
TRAAMPA128F92E7D0D,Los Angeles/ CA,nan,nan
TRAGNAX128F9313AE8,Dallas/ TX,32.77815,-96.7954
TRBIDUK128F42806A4,Smithville/ GA,31.90143,-84.25274
TRAFMME128F932B4D5,Seattle/ Washington,nan,nan
TRBHHWQ128F93321AB,Madison/ Wisconsin,43.07295,-89.38669
TRARBBK128F427ED68,,nan,nan
TRAHFHR12903CCCAF8,New York NY,nan,nan
TRBHCXR128F92E7D0E,Los Angeles/ CA,nan,nan
TRBDSFP128E07937B9,,nan,nan
TRAGLSU128F145FFB2,,nan,nan
TRAWIJG128F42B502C,Timmins/ Ontario/ Canada,nan,nan
TRADHLI128F428FEFD,Venice/ CA,34.05349,-118.24532
TRAXWDS12903CEE35E,Sydney/ Australia,nan,nan
TRACJPW128F932CA4C,,nan,nan
TRAPVYD12903CE0269,NORWAY,nan,nan
TRAHMIV128F14693DC,United Kingdom,nan,nan
TRBAOJU128F42621E6,L.A 	California/ Estados Unidos ,37.16793,-95.84502
TRBDIOP128EF35F99C,Los Angeles/ CA,nan,nan
TRABGHG128F934B27E,Arizona,34.16788,-111.9307
TRASYSY128F92F39F5,California - LA,34.05349,-118.24532
TRABNET128F14560AC,Oklahoma City/ OK,35.472,-97.52033
TRAEVRU128F4263351,Santa Monica/ CA,nan,nan
TRAFEEO12903CFEC87,,nan,nan
TRAJPPX128F4259FD4,London/ England,nan,nan
TRAGSGF128E0780CA7,,nan,nan
TRASYQQ128F425092B,,nan,nan
TRAXCZO12903CB819D,,nan,nan
TRBHHUC128F4294C6F,CANADA - Ontario,nan,nan
TRBECAL128F4270F27,Coral Springs/ Florida,26.27249,-80.25306
TRAKGDZ12903CE4867,LONG BEACH/ California,nan,nan
TRBHGVH128F148AD73,,nan,nan
TRBGCLK128F4237A50,Chiswick/ London/ England,nan,nan
TRAACHN128F1489601,,nan,nan
TRAPGFN12903CB5BAC,,nan,nan
TRAABVM128F92CA9DC,,nan,nan
TRBCVPD12903CECBE8,,nan,nan
TRALLQJ128F933C68A,Toronto/ Ontario/ Canada,43.64856,-79.38533
TRACBWX128F92FD725,Edmonton/ Alberta/ Canada,nan,nan
TRAZVFJ128F9310CE2,Oxford/ UK,nan,nan
TRACMHD128F931FB14,Helsinki/ Finland,nan,nan
TRAFWRG128F4295089,Miami/ Florida,nan,nan
TRAKPJC128F4258613,,nan,nan
TRAQEVV128EF34E413,Sydney/ Australia,34.05349,-118.24532
TRALMTD128E07862AC,Newark/ NJ,nan,nan
TRBDTNY128F9327A10,England,nan,nan
TRAHCRI128F4255C6E,Paw Paw/ WV,nan,nan
TRAHZMM128E07838FF,Glasgow/ Scotland,55.8578,-4.24251
TRAUODU128F9307467,Charlottesville/ VA,nan,nan
TRABRMJ128E0780E42,Poway/ CA,nan,nan
TRAYUWU128F423F66D,Edwards/ MS,32.33112,-90.60536
TRAFRCH12903CEA22D,,nan,nan
TRABUIN128F93022FF,,nan,nan
TRAPRQZ128F427E188,Calcutta/ India,nan,nan
TRAXQDR128F4260194,,nan,nan
TRBHKKJ128F427A3B1,Croix-des-Bouquets/  Haiti,nan,nan
TRBCIRO128F42B0277,,nan,nan
TRBDDKF128F426BF7B,PHILADELPHIA/ Pennsylvania,nan,nan
TRBEIKK128F14628D6,Newcastle/ England,54.97791,-1.61237
TRAPESV128F92FE5E9,Shelby/ North Carolina,nan,nan
TRADOSF128F9338ADB,Buenos Aires/ Argentina,-34.60852,-58.37354
TRBAHBP128F42985D6,New Jersey,nan,nan
TRAINIF128F426416B,Orlando/ FL,28.53823,-81.37739
TRAJFRJ128F9328FF1,Memphis/ Tennessee,nan,nan
TRAOJEW128F4294CBD,Mogadishu/ Somalia,nan,nan
TRAATIU128F4291A84,Atlanta/ GA,nan,nan
TRBIFUD128F1495AE2,,nan,nan
TRAHXWI128F428B7DA,,nan,nan
TRAVTUD128F93094F2,Birmingham/ England,52.47859,-1.9086
TRBFUMI128F42B5731,New York/ NY,nan,nan
TRAEXEA128F933C67D,Toronto/ Ontario/ Canada,43.64856,-79.38533
TRBAHID128F4278EAF,Barranquilla/ Colombia,nan,nan
TRAVGFT128F424278B,,nan,nan
TRAYUCR128F92E574F,San Francisco/ California,37.77916,-122.42005
TRAQAIW12903C9B61E,,nan,nan
TRAFOKY128F92ED751,Tulsa/ Oklahoma,36.15398,-95.99277
TRAUNNH12903CB038C,,nan,nan
TRAQGNV128C7196894,Poway/ CA,nan,nan
TRBAYER128F933D3B7,Boston/ MA,nan,nan
TRAMOLS128F92F99E3,,nan,nan
TRAGWTT128F148CF2C,Gainesville/ FL,nan,nan
TRABUDK128F14943F3,Chicago/ IL,41.88415,-87.63241
TRBGITL12903CF2662,,nan,nan
TRACISV12903D13877,OCALA/ Florida,29.18752,-82.14039
TRASXSI128F9345EA2,Virginia,40.71455,-74.00712
TRADUOU12903CF4323,Austin/ Texas,30.2676,-97.74298
TRBBQJZ128F92C5AF2,Toronto/ Ontario/ Canada,43.64856,-79.38533
TRBCANP128F92FA6B9,New York/ NY,nan,nan
TRAYSMW128F1468307,,nan,nan
TRAMIUD128E07825DB,Richmond VA,nan,nan
TRANIUS12903D00EC7,Jyväskylä/ Finland,62.24049,25.75129
TRAZWDT128F4241B14,Quantico/ VA,nan,nan
TRAIUYZ128F425BD2F,,nan,nan
TRAYJOF128F92F9EEA,,nan,nan
TRAEPGQ128F932AE6D,Nashville/ TN/ Texas,36.16778,-86.77836
TRAIZWI128F4247EFD,,nan,nan
TRAZVZJ128F92EF28A,San Francisco/ CA,nan,nan
TRAQKPR128F427DDF8,Centre,nan,nan
TRAUXEL128F42683D5,Finland,64.95014,26.06739
TRAYWLI128F9300223,Aberdeen,57.15382,-2.10679
TRBHPGG128F428C972,JP,37.4876,139.83829
TRACLRV128EF33FAB8,London/ England,51.50632,-0.12714
TRAOKSC128F4264989,,nan,nan
TRAGYDZ12903D0957F,Seattle/ WA,nan,nan
TRADXCF128EF357134,Dundee/ Scotland,nan,nan
TRBFGFF12903CF4183,,nan,nan
TRAYKZI128F932B9E8,Jacksonville/ FL,30.33138,-81.6558
TRANCSE128F93044F1,Barranquilla/ Colombia,nan,nan
TRAEFDK128F1473B92,United States,nan,nan
TRAJTYX128F145AD24,England,52.88356,-1.97406
TRAOYHS128F427EF8B,Sacramento/ CA,nan,nan
TRAAGPJ128F428CD1B,,nan,nan
TRAOEAQ12903CC26BD,Long Island/ NY,nan,nan
TRBEISL128F931B107,Melbourne,-37.81753,144.96715
TRANIJQ128F4298A10,New York/ NY,nan,nan
TRAIJMG12903D08168,Los Angeles/ CA,34.05349,-118.24532
TRBBILZ12903CB422C,San Francisco/ CA,nan,nan
TRBHBGB128F931E4CF,Philadelphia/ Pennsylvania,nan,nan
TRAAJYX128F4255568,Great Britain / UK,54.31392,-2.23218
TRAZYYE128F1456A0E,Lithonia/ GA,33.71197,-84.10599
TRAVDGG128F92E389A,Algiers/ LA,29.95244,-90.05202
TRACSIE128F427F98E,The Bronx/ New York,nan,nan
TRAEWLF128F42B1F89,Minneapolis/ MN,nan,nan
TRAWDWZ128F9340E55,Fairfax/ California,nan,nan
TRAHLDM128F933A3B1,,nan,nan
TRALJBT128F4266FD8,The Bronx/ New York,nan,nan
TRALHMS128F930C08C,Boston/ Brooklyn USA,40.65507,-73.94888
TRBAXDP12903CD1922,Ukiah/ CA,nan,nan
TRAYVLL128F9335B7A,Buenos Aires,-34.60852,-58.37354
TRAEVRI128F93608F3,Chiswick/ London/ England,nan,nan
TRBGLSW12903CE3D8A,Barbados/ West Indies,16.85576,-69.46854
TRAVFEW128F92E2B47,Detroit/ MI,42.33168,-83.04792
TRAZXBO128F429DA70,,nan,nan
TRANCFS12903C9B61B,,nan,nan
TRBCBMG12903CDE2A4,Jamestown/ ND,46.91008,-98.70853
TRASRBB128F42AFD5C,Lexington/ KY,38.04859,-84.50032
TRACRON12903CB59E6,Columbus/ OH,nan,nan
TRAUZTR128F9351D2A,,nan,nan
TRASLVK128F935046C,,nan,nan
TRBGTZD128EF34B6C3,,nan,nan
TRANJWP128F428560C,,nan,nan
TRBFJPO128F4295BE3,Barranquilla/ Colombia,nan,nan
TRACTLX128F42A51F6,Brooklyn/ NY,40.65507,-73.94888
TRBGHVM128F146B47A,,nan,nan
TRAJZCH128F933D2B7,Boston/ MA,nan,nan
TRAVUAJ128E078EDA2,Boston/ MA,nan,nan
TRBBMPH128F1469775,United Kingdom,nan,nan
TRBGIDU128F4241A2E,Seattle/ WA,nan,nan
TRAEASY128F148247C,,nan,nan
TRAJSRH128F425DDC7,,nan,nan
TRAQDZZ128F42AF66A,Memphis/ TN,nan,nan
TRAYZXS12903CF1C4F,Norway,64.55653,12.66538
TRAAGEC128E079252C,Cleveland/ OH,41.50471,-81.69074
TRBIJES12903CF5B12,Dayton/ OH,39.75911,-84.19444
TRAZCSY128F42683F2,California - LA,nan,nan
TRANCCN128E0794B18,Los Angeles/ CA,nan,nan
TRBDKOV128F4290943,Brooklyn/ New York,40.65507,-73.94888
TRASYWM128F14804A5,,nan,nan
TRAOWBP128F4257C64,Galveston/ TX,nan,nan
TRBHJAY128F14A9061,London/ England,40.71455,-74.00712
TRAYOXN128E07926A8,,nan,nan
TRAETTV12903CBBD09,Seattle/ USA,nan,nan
TRAASQC128F93480F0,Chicago,nan,nan
TRADPDI128F92EBD32,,nan,nan
TRBGUUF128F9334B97,HOUSTON/ Texas,29.76045,-95.36978
TRASYIH12903D08529,Los Angeles,nan,nan
TRBEKGR128F425DA44,Los Angeles/ CA,nan,nan
TRAPFIP128F42AC31E,Harlem/ New York,40.8079,-73.9454
TRBFZRA128F427030C,,nan,nan
TRAVQBP128F145BB9B,San Antonio/ TX,29.42449,-98.49462
TRAZDTT128F9346306,Queens/ NY,40.7038,-73.83168
TRASGKM128F42644C5,New York,40.71455,-74.00712
TRAWWHT128F426894E,NY - New York City,40.71455,-74.00712
TRARMHA128F92E7D32,Los Angeles/ CA,nan,nan
TRAYZBA128F4264551,New York/ NY [Manhattan],40.79086,-73.96644
TRBHZUN12903CA60F7,,nan,nan
TRABJWA128F9309C09,Helsinki/ Finland,nan,nan
TRAADYB128F92D7E73,Sao Paulo/ Brazil,-23.56287,-46.65466
TRARHCB128F148D1B0,New Jersey,nan,nan
TRBECKU128F428B08A,,nan,nan
TRAZFYU128F93569C6,Houma/ LA,29.59733,-90.71913
TRANIVG128F1484DED,Los Angeles &amp; New York,nan,nan
TRBFVEP128F42621E3,L.A 	California/ Estados Unidos ,37.16793,-95.84502
TRAXJOA128F93474E8,,nan,nan
TRAQITZ128F4265E0E,Kingsland/ AR,nan,nan
TRAJBGL128F145C7A8,Lynn Lake/ Manitoba/ Canada,56.85147,-101.04893
TRBCSDW128F424D686,Maine,nan,nan
TRAMEEC128F9307A54,,nan,nan
TRBEMTF128F42660CA,,nan,nan
TRAYPFH128E07937C3,Seattle,47.60356,-122.32944
TRBEFFG128E0793C24,,nan,nan
TRBHJJP128F145EA12,San Antonio/ TX,nan,nan
TRAFJVH128F42BC25E,Compton CA,nan,nan
TRBEUKI128F9318306,Teoc/ MS,nan,nan
TRAKQXJ128F147A028,Ukiah/ CA,nan,nan
TRAWXYD128F4255FBD,,nan,nan
TRAPMTM128F425B4E5,CHICAGO/ US,41.88415,-87.63241
TRACUCT128F422BC2F,Denver/ CO,nan,nan
TRBGWVI128E0788AE7,,nan,nan
TRAGALM128F4236C86,Japan,nan,nan
TRAKFSV128F4257C10,,nan,nan
TRARSZV12903CDB2DE,Hudsonville/ MS,nan,nan
TRAMESI128F93509F7, NC,35.66693,-80.46935
TRACFAP128E07862C1,,nan,nan
TRBACUF128F4247F8C,Minneapolis/ MN,nan,nan
TRBBVNR128E078E1E4,Los Angeles/ CA,nan,nan
TRAJBTZ12903CB818C,,nan,nan
TRAMKKJ128F1463612,NY - Long Island,nan,nan
TRAFYGA128F425A92C,London/ England,51.50632,-0.12714
TRALEPN128F9311179,Sheffield/ South Yorkshire/ Engla,nan,nan
TRBEBNV128F423783D,El Paso/ TX,31.75916,-106.48749
TRAVKJJ128F424DA32,Chicago/ IL,nan,nan
TRACKWV128F934B6B0,New Orleans/ LA,29.95369,-90.07771
TRBDBXO128F42B3E45,St. Renan/ France,48.43434,-4.62141
TRBBMLR128F1466822,,nan,nan
TRAMARM128E0796A50,Stillwater/ OK,nan,nan
TRAVBCR128F933AE8E,Houma/ LA,29.59733,-90.71913
TRAITDY128F149431C,Volos/ Greece,39.37413,22.95775
TRAJDTK128F429FFDF,Galloway/ Panola County/ TX,32.20049,-94.35887
TRBGKGR128F92EE206,,nan,nan
TRAMMQW128F42621E1,L.A 	California/ Estados Unidos ,37.16793,-95.84502
TRAJIUK128F42668E6,Wisconsin,nan,nan
TRAVHIA128F1494B0C,Hackleburg/ AL,34.27798,-87.82828
TRBFMFO128F421BFD4,,nan,nan
TRASKII128F92FA33E,Anderson/ IN,40.10216,-85.67869
TRAOUOI128F4290E44,Galloway/ Panola County/ TX,32.20049,-94.35887
TRAFZHK128F145E86B,Wilkes Barre/ PA,nan,nan
TRBDYIC128F92F1D17,Detroit MI,nan,nan
TRAVRPL128F145E874,Wilkes Barre/ PA,nan,nan
TRAZSJY128F92CCEA0,Walker-on-Tyne/ England,54.97938,-1.54508
TRAZEYQ12903C9D099,Beaumont/ Texas,nan,nan
TRAYABW128F4235888,Berkeley/ CA,nan,nan
TRAAAEF128F4273421,London/ England,nan,nan
TRAZSCZ128F42554F4,Berkeley/ CA,37.8695,-122.2705
TRAWEIX128F14B0F05,Mt. Vernon/ NY,nan,nan
TRAVPHL128F424EAE1,Escatawpa/ MS,nan,nan
TRBCBVY128F933A195,,nan,nan
TRAUHXR12903CBDFE4,,nan,nan
TRAWHZK12903CB5A01,Columbus/ OH,nan,nan
TRABZRZ128F42628AD,London/ England,nan,nan
TRABYEY128F933773A,Pittsburgh/ PA,nan,nan
TRAZLVR128E078F044,Angleterre,52.88356,-1.97406
TRBEXUF128F92DF175,London,51.50632,-0.12714
TRAUXSO128F42B863C,Newcastle,nan,nan
TRATTAF128F147CA09,Hermosillo Sonora/ Mexico,29.07904,-110.94695
TRAZYQU128F934AC32,Los Angeles/ CA,34.05349,-118.24532
TRBFSNP128F14572B5,California - LA,nan,nan
TRANMOT128F92EFF19,Cross Lane/ WV,nan,nan
TRAFOKY128F4276D91,,nan,nan
TRANVKJ128F92F1561,,nan,nan
TRABOOL128F426E836,Ireland,53.41961,-8.24055
TRAUTXO128F4263C8E,Nashville/ TN/ Texas,36.16778,-86.77836
TRBBJAJ128F425DA40,Los Angeles/ CA,nan,nan
TRBHTOR128F428CADE,Morris Plains/ NJ,40.82624,-74.47995
TRAYQKQ128F1491182,London/ England,nan,nan
TRAEMNZ128F9334662,Boston/ MA,nan,nan
TRAUCZX128F149D9AE,Vidor/ TX,nan,nan
TRAORSC128F4235056,Bremerton/ WA,47.565,-122.62569
TRANRFB128F1481F1E,Batley/ England,nan,nan
TRAYCIH128E07890B9,Crawley/ England,51.11655,-0.18703
TRACFZI128E0795424,California,nan,nan
TRAPEIN128E078892E,Chicago/ IL,41.88415,-87.63241
TRABOXX128F92F29EB,Minnesota,nan,nan
TRAKAGL128F148B3B7,,nan,nan
TRBBXML128F4256DFF,Norrtälje,59.75952,18.70249
TRABVWG128F9359323,Los Angeles/ California,nan,nan
TRAWGXD128F428A36B,Fort Meyers/ FL,27.9758,-81.54106
TRAYGHE12903CD213E,Braintree/ Essex/ England,nan,nan
TRAKXYJ128F42525ED,New York/ NY,40.71455,-74.00712
TRBHSMF128F4285B9C,,nan,nan
TRAXPHE128F92F4100,Middlesbrough/ England,nan,nan
TRABJIX128C7196953,London,nan,nan
TRAPTRH128F4271659,Beaumont/ Texas,nan,nan
TRAWYNV128F92F5E7E,,nan,nan
TRABSAR128F42324A8,,nan,nan
TRAJSQA128F4263330,Vernet les Bains,42.54843,2.38596
TRAQGMY128F425A2F5,Aberdeen,57.15382,-2.10679
TRARIZK128F92FF27A,Garnant/ Wales,nan,nan
TRAJBSL128F428A021,Galloway/ Panola County/ TX,32.20049,-94.35887
TRBEYJR128F4292651,Severn/ MD,nan,nan
TRAQEOP12903CA65E2,Barranquilla/ Colombia,nan,nan
TRAQKVC128F425E65C,London/ England,51.52328,-0.21346
TRBALIJ128F14884B5,Muskegon/ MI,nan,nan
TRAFRKU128F933CE16,Atlanta/ GA,nan,nan
TRAUDRC128F148D15E,Heston/ Middlesex/ England,51.4855,-0.37196
TRAQACB128F4263F7B,Manhattan/ Kansas,39.17881,-96.56183
TRARJPL128F931C7D2,Salt Lake City/ UT,nan,nan
TRBGNCL128F428F56F,,nan,nan
TRAQQHJ128F9345DC3,Chicago,nan,nan
TRBCJSZ128E07969B5,,nan,nan
TRAYZXR128F934858F,Bay Area/ CA,37.87869,-121.94345
TRACHKX128F934B07A,Stockholm,nan,nan
TRALBIA128F4272082, NC,35.66693,-80.46935
TRBHKKK128F427E9FF,Escatawpa/ MS,nan,nan
TRAKOEB128F1478783,Chicago,nan,nan
TRAKWZL128F93346EE,,nan,nan
