track_id,genre,location,latitude,longitude
TRALLQX12903CD838C,Jazz,Chicago/ IL,41.88415,-87.63241
TRBEBVZ128F425A660,Pop,Newton-le-Willows/ Merseyside/ England,53.45644,-2.63265
TRALTKQ128F932DA67,Electronic|Punk,Berlin/ Germany,52.51607,13.37698
TRAFAQY12903CA70F7,Rock|Punk,Detroit/ MI,42.33168,-83.04792
TRAPCNK128F427D7B5,Electronic,Antibes/ France,43.58015,7.12123
TRAKHUW12903CF0048,Rock|Metal,Norway,64.55653,12.66538
TRAOJZC128F14932D5,Rock,Crawley/ England,51.11655,-0.18703
TRANUME128E0789D4C,Rock,New York/ NY,40.71455,-74.00712
TRBEHGH128E078DEDE,Rap,Philadelphia/ Pennsylvania/ U.S.,39.95227,-75.16237
TRANSYV128F428A00C,Rock|Country,Galloway/ Panola County/ TX,32.20049,-94.35887
TRAVGZS128F9338603,Country,Itawamba County/ MS,34.27611,-88.35068
TRARFQL128F931E523,Pop,Hacienda Heights/ CA,33.99363,-117.97092
TRADKLT128F9304E1D,Rock|Folk,Brooklyn/ NY,40.71455,-74.00712
TRAAWOR128F92DF3C8,Pop|Blues,Scotland,56.65286,-3.99667
TRARTSA128F4291550,Metal,Madison/ Wisconsin,43.07295,-89.38669
TRAERPT128F931103E,Rock,London/ England,51.50632,-0.12714
TRAXXIT128F4263075,Rock,Brazil/ IN,39.52517,-87.1187
TRAYXPS128F422842E,Rock,New York/ NY,40.71455,-74.00712
TRATHTH128F42BC347,Rock,Nashville/ Tennessee,36.16778,-86.77836
TRAVBAH128F9305DFC,Rock|Metal,New York,40.71455,-74.00712
TRAOCOE128F4276D18,Punk,London/ England,51.52328,-0.21346
TRABLGI128F42B867A,Rock,Orange County/ CA,33.6671,-117.76505
TRAJLOY128F92E4EAF,Rock,Toronto/ Ontario/ Canada,43.64856,-79.38533
TRAOJMY128E07836D9,Metal,New York,40.71455,-74.00712
TRARUTP128E0797FC7,Rock,Los Angeles/ CA,34.05349,-118.24532
TRATYJI128F4255D27,Pop|Rap,Denmark,56.27609,9.51695
TRBAHJW128F92CC8B4,Metal,Jyväskylä/ Finland,62.24049,25.75129
TRADSVJ12903C9CDFA,Rock,London/ England,51.50632,-0.12714
TRATHFM128F148ADD4,Rock|Folk,Los Angeles/ CA,34.05349,-118.24532
TRAVYHI12903CB95EC,Rap,Thaba Nchu,-29.21545,26.83776
TRAGNAX128F9313AE8,Blues,Dallas/ TX,32.77815,-96.7954
TRBIDUK128F42806A4,Blues,Smithville/ GA,31.90143,-84.25274
TRBHHWQ128F93321AB,Metal,Madison/ Wisconsin,43.07295,-89.38669
TRADHLI128F428FEFD,Metal|Punk,Venice/ CA,34.05349,-118.24532
TRBAOJU128F42621E6,Punk,L.A 	California/ Estados Unidos ,37.16793,-95.84502
TRABGHG128F934B27E,Rock,Arizona,34.16788,-111.9307
TRASYSY128F92F39F5,Punk|Rock,California - LA,34.05349,-118.24532
TRABNET128F14560AC,Rock|Blues,Oklahoma City/ OK,35.472,-97.52033
TRBECAL128F4270F27,Metal|RnB,Coral Springs/ Florida,26.27249,-80.25306
TRALLQJ128F933C68A,Rock,Toronto/ Ontario/ Canada,43.64856,-79.38533
TRAQEVV128EF34E413,Rock,Sydney/ Australia,34.05349,-118.24532
TRAHZMM128E07838FF,Pop,Glasgow/ Scotland,55.8578,-4.24251
TRAYUWU128F423F66D,Blues,Edwards/ MS,32.33112,-90.60536
TRBEIKK128F14628D6,Pop,Newcastle/ England,54.97791,-1.61237
TRADOSF128F9338ADB,Jazz|RnB,Buenos Aires/ Argentina,-34.60852,-58.37354
TRAINIF128F426416B,Pop,Orlando/ FL,28.53823,-81.37739
TRAVTUD128F93094F2,Electronic|Rock,Birmingham/ England,52.47859,-1.9086
TRAEXEA128F933C67D,Rock,Toronto/ Ontario/ Canada,43.64856,-79.38533
TRAYUCR128F92E574F,Rock|Blues,San Francisco/ California,37.77916,-122.42005
TRAFOKY128F92ED751,Rock,Tulsa/ Oklahoma,36.15398,-95.99277
TRABUDK128F14943F3,RnB,Chicago/ IL,41.88415,-87.63241
TRACISV12903D13877,Country,OCALA/ Florida,29.18752,-82.14039
TRASXSI128F9345EA2,Punk|Metal,Virginia,40.71455,-74.00712
TRADUOU12903CF4323,Metal|Rap,Austin/ Texas,30.2676,-97.74298
TRBBQJZ128F92C5AF2,Rock,Toronto/ Ontario/ Canada,43.64856,-79.38533
TRANIUS12903D00EC7,Rock|Metal,Jyväskylä/ Finland,62.24049,25.75129
TRAEPGQ128F932AE6D,Country,Nashville/ TN/ Texas,36.16778,-86.77836
TRAUXEL128F42683D5,Metal,Finland,64.95014,26.06739
TRAYWLI128F9300223,Pop,Aberdeen,57.15382,-2.10679
TRBHPGG128F428C972,Rock|Punk,JP,37.4876,139.83829
TRACLRV128EF33FAB8,Rock,London/ England,51.50632,-0.12714
TRAYKZI128F932B9E8,Metal,Jacksonville/ FL,30.33138,-81.6558
TRAJTYX128F145AD24,Rock,England,52.88356,-1.97406
TRBEISL128F931B107,Rock,Melbourne,-37.81753,144.96715
TRAIJMG12903D08168,Rock,Los Angeles/ CA,34.05349,-118.24532
TRAAJYX128F4255568,Reggae,Great Britain / UK,54.31392,-2.23218
TRAZYYE128F1456A0E,Country,Lithonia/ GA,33.71197,-84.10599
TRAVDGG128F92E389A,Blues,Algiers/ LA,29.95244,-90.05202
TRALHMS128F930C08C,Metal,Boston/ Brooklyn USA,40.65507,-73.94888
TRAYVLL128F9335B7A,Rock,Buenos Aires,-34.60852,-58.37354
TRBGLSW12903CE3D8A,Rap,Barbados/ West Indies,16.85576,-69.46854
TRAVFEW128F92E2B47,Rock,Detroit/ MI,42.33168,-83.04792
TRBCBMG12903CDE2A4,Jazz,Jamestown/ ND,46.91008,-98.70853
TRASRBB128F42AFD5C,Pop,Lexington/ KY,38.04859,-84.50032
TRACTLX128F42A51F6,Reggae,Brooklyn/ NY,40.65507,-73.94888
TRAYZXS12903CF1C4F,Rock|Metal,Norway,64.55653,12.66538
TRAAGEC128E079252C,Electronic,Cleveland/ OH,41.50471,-81.69074
TRBIJES12903CF5B12,Metal,Dayton/ OH,39.75911,-84.19444
TRBDKOV128F4290943,Rock,Brooklyn/ New York,40.65507,-73.94888
TRBHJAY128F14A9061,Rock,London/ England,40.71455,-74.00712
TRBGUUF128F9334B97,Latin,HOUSTON/ Texas,29.76045,-95.36978
TRAPFIP128F42AC31E,RnB,Harlem/ New York,40.8079,-73.9454
TRAVQBP128F145BB9B,Rock,San Antonio/ TX,29.42449,-98.49462
TRAZDTT128F9346306,Rock|Pop,Queens/ NY,40.7038,-73.83168
TRASGKM128F42644C5,Rock,New York,40.71455,-74.00712
TRAWWHT128F426894E,Country|Folk,NY - New York City,40.71455,-74.00712
TRAYZBA128F4264551,Rock|Pop,New York/ NY [Manhattan],40.79086,-73.96644
TRAADYB128F92D7E73,Jazz,Sao Paulo/ Brazil,-23.56287,-46.65466
TRAZFYU128F93569C6,Rock,Houma/ LA,29.59733,-90.71913
TRBFVEP128F42621E3,Punk,L.A 	California/ Estados Unidos ,37.16793,-95.84502
TRAJBGL128F145C7A8,Rock,Lynn Lake/ Manitoba/ Canada,56.85147,-101.04893
TRAYPFH128E07937C3,Rock,Seattle,47.60356,-122.32944
TRAPMTM128F425B4E5,Rock,CHICAGO/ US,41.88415,-87.63241
TRAMESI128F93509F7,Pop, NC,35.66693,-80.46935
TRAFYGA128F425A92C,Pop|Rock,London/ England,51.50632,-0.12714
TRBEBNV128F423783D,Punk,El Paso/ TX,31.75916,-106.48749
TRACKWV128F934B6B0,Rock|Metal,New Orleans/ LA,29.95369,-90.07771
TRBDBXO128F42B3E45,Pop,St. Renan/ France,48.43434,-4.62141
TRAVBCR128F933AE8E,Rock,Houma/ LA,29.59733,-90.71913
TRAITDY128F149431C,New Age|Electronic,Volos/ Greece,39.37413,22.95775
TRAJDTK128F429FFDF,Country,Galloway/ Panola County/ TX,32.20049,-94.35887
TRAMMQW128F42621E1,Punk,L.A 	California/ Estados Unidos ,37.16793,-95.84502
TRAVHIA128F1494B0C,Country,Hackleburg/ AL,34.27798,-87.82828
TRASKII128F92FA33E,Rock,Anderson/ IN,40.10216,-85.67869
TRAOUOI128F4290E44,Country,Galloway/ Panola County/ TX,32.20049,-94.35887
TRAZSJY128F92CCEA0,Rock,Walker-on-Tyne/ England,54.97938,-1.54508
TRAZSCZ128F42554F4,Rock,Berkeley/ CA,37.8695,-122.2705
TRAZLVR128E078F044,Rock,Angleterre,52.88356,-1.97406
TRBEXUF128F92DF175,Pop,London,51.50632,-0.12714
TRATTAF128F147CA09,Latin,Hermosillo Sonora/ Mexico,29.07904,-110.94695
TRAZYQU128F934AC32,Metal,Los Angeles/ CA,34.05349,-118.24532
TRABOOL128F426E836,World|Folk,Ireland,53.41961,-8.24055
TRAUTXO128F4263C8E,Country,Nashville/ TN/ Texas,36.16778,-86.77836
TRBHTOR128F428CADE,Metal,Morris Plains/ NJ,40.82624,-74.47995
TRAORSC128F4235056,Punk,Bremerton/ WA,47.565,-122.62569
TRAYCIH128E07890B9,Rock,Crawley/ England,51.11655,-0.18703
TRAPEIN128E078892E,Rock,Chicago/ IL,41.88415,-87.63241
TRBBXML128F4256DFF,Metal|Rock,Norrtälje,59.75952,18.70249
TRAWGXD128F428A36B,Country,Fort Meyers/ FL,27.9758,-81.54106
TRAKXYJ128F42525ED,Punk,New York/ NY,40.71455,-74.00712
TRAJSQA128F4263330,Rock|Pop,Vernet les Bains,42.54843,2.38596
TRAQGMY128F425A2F5,Pop,Aberdeen,57.15382,-2.10679
TRAJBSL128F428A021,Country,Galloway/ Panola County/ TX,32.20049,-94.35887
TRAQKVC128F425E65C,Punk,London/ England,51.52328,-0.21346
TRAUDRC128F148D15E,Rock,Heston/ Middlesex/ England,51.4855,-0.37196
TRAQACB128F4263F7B,Rock,Manhattan/ Kansas,39.17881,-96.56183
TRAYZXR128F934858F,Punk,Bay Area/ CA,37.87869,-121.94345
TRALBIA128F4272082,Pop, NC,35.66693,-80.46935
TRAPVXU128F149E7CD,Rock,London/ England,51.50632,-0.12714
TRBDNZI128F14A9065,Rock,London/ England,40.71455,-74.00712
TRATJXC128F93124CE,Country,Brenham/ TX,30.16602,-96.39998
TRAKMLM128F14932B0,Rock|Metal,katy,29.78772,-95.82333
TRBHJLT128F1460832,Rock,Arizona,34.16788,-111.9307
TRAYDYV128F42906E1,Country,Fort Meyers/ FL,27.9758,-81.54106
TRAWFZB128F92FFB99,Rock,San Francisco/ CA,37.77916,-122.42005
TRANGIY128F427FA51,Rock,Los Angeles/ CA,34.05349,-118.24532
TRATKAA128F426E8A0,Folk|Pop,Ireland,53.41961,-8.24055
TRAHHMV12903CD0B0D,Pop,Orlando/ FL,28.53823,-81.37739
TRAUVVR128F425A925,Pop,London/ England,51.50632,-0.12714
TRAKUJS128F14668E5,Rock,San Antonio/ TX,29.42449,-98.49462
TRBFMTO128F9322AE7,Rock,London/ England,51.50632,-0.12714
TRBFUXQ128F145B135,Rock,Georgia,32.67828,-83.22295
TRBEWCS128F428BA34,Punk|Rock,Los Angeles/ CA,34.05349,-118.24532
TRAPSHW128F14560A6,Blues|Rock,Oklahoma City/ OK,35.472,-97.52033
TRANZRO128F4278401,Country,SAN ANTONIO/ Texas,29.42449,-98.49462
TRABPGO128F931B50C,Pop,Bridgeport/ CT,41.18466,-73.19907
TRADCHC128F42134B5,Rap,Davis/ CA,38.54666,-121.74477
TRBFUNY128C7196B7D,Rap,San Fransisco/ CA,37.27188,-119.27023
TRBGFUW12903CA0E6B,Rock,Detroit/ MI,42.33168,-83.04792
TRAAGJV128F1464090,Pop,New York/ NY,40.71455,-74.00712
TRAPUFL128F425A8F9,Pop,Newton-le-Willows/ Merseyside/ England,53.45644,-2.63265
TRACHHH128E0788A35,Rap,Los Angeles/ California,34.05349,-118.24532
TRBHNEU128F426E873,World|Folk,Ireland,53.41961,-8.24055
TRAMUYQ128F428CA58,Rock,Chicago/ IL,41.88415,-87.63241
TRAOWXO128E0783F68,Pop|Country,Glasgow/ Scotland,55.8578,-4.24251
TRAZTBZ12903CFB6DA,Pop,Sweden,62.19845,17.55142
TRARBGM12903CC5026,Rock,Mass. - Boston,42.31256,-71.08868
TRAMOPU128E07888FD,Rock,Chicago/ IL,41.88415,-87.63241
TRBGNAF128F9339532,Latin|Rock,New Hampshire,44.00118,-71.6342
TRBBXEG128F424EC2C,Rock,Halifax/ Nova Scotia/ Canada,44.64616,-63.57392
TRAGEQI128F429154D,Metal|Rock,Madison/ Wisconsin,43.07295,-89.38669
TRAVLNW128F4272F05,Latin,Peru,-9.18134,-75.00236
TRAWZRG128F1489B24,Punk,Hermosa Beach/ CA,33.86404,-118.39535
TRAWSYF128F149431A,New Age|Electronic,Volos/ Greece,39.37413,22.95775
TRAQSWI128F9343039,Folk|Rock,Vermillion/ SD,42.78668,-96.92803
TRAWBOE128F92F2F46,Rock,Seattle/ WA,47.60356,-122.32944
TRAKWXV128F42889FB,Rock|Metal,Newbury Park/ CA,34.18806,-118.94151
TRAEBXS128F429933A,Pop,Kentwood/ LA; Los Angeles/ CA,34.05349,-118.24532
TRBBYOI128F4256732,Punk,Los Angeles/ CA,34.05349,-118.24532
