track_id,artist_location,artist_latitude,artist_longitude
TRASQIB128F426693D,The Bronx/ New York,nan,nan
TRANRIK128F148C860,St. Joseph/ MO,nan,nan
TRAZOSB128F9302A07,Los Angeles/ CA,nan,nan
TRAZDPO128E078ECE6,Boston/ MA,nan,nan
TRAZSVJ128E0785129,,nan,nan
TRBAFBU128F427EFCE,London/ England,nan,nan
TRBDAVU128F423814A,Sayreville/ NJ,nan,nan
TRATCDG128F932B4D2,Seattle/ Washington,nan,nan
TRAGDLM128F4233397,,nan,nan
TRAFTFF128F930F77C,,nan,nan
TRATOHC128EF3460DA,Borlänge,nan,nan
TRBFEIX128F426A5F8,Newcastle,nan,nan
TRBICGT128E0792473,,nan,nan
TRAEPAW128F4285BAB,,nan,nan
TRAPGOC128F932F01A,West London/ England,nan,nan
TRBFJGB128F42612B1,Houston/ TX,nan,nan
TRAEOOH128F934ACD4,Antarctica,nan,nan
TRAUGRD128F425E997,,nan,nan
TRAYUCR128E078EE0F,London/ England,nan,nan
TRASIKP128F423EED7,London/ England,nan,nan
TRAKORW128F1484DF0,Los Angeles &amp; New York,nan,nan
TRAUYOD128F42647FE,,nan,nan
TRABLYQ128F429A9F8,,nan,nan
TRARDUI12903CBF6B6,,nan,nan
TRAMLZC128F92F3EB9,New York NY,nan,nan
TRASIWA12903CFFC4D,St. Mary's/ Jamaica,nan,nan
TRAILUH128E0784D6D,St. Louis/ MO,nan,nan
TRASXHB128F933D3BD,Boston/ MA,nan,nan
TRAESJK128E0792227,St. Joseph/ MO,nan,nan
TRAJOIH128F14B08F7,ITALY,nan,nan
TRASUJK128E0789C12,,nan,nan
TRAQTOS128F428E94B,,nan,nan
TRAAHEG128E07861C3,Newark/ NJ,nan,nan
TRAEGGV128F92F29B2,GERMANY,nan,nan
TRBBKLD128F424ABF5,Louisiana,nan,nan
TRAGBHV128F4295074,Miami/ Florida,nan,nan
TRBBJFO12903D074EE,Los Angeles/ CA,nan,nan
TRAXAZZ128F4255FAF,,nan,nan
TRBIHAU128F425C317,Amherst/ MA,nan,nan
TRAZZLJ128E07945F2,,nan,nan
TRAJXNB128F4261F43,Carle Place/ New York,nan,nan
TRBHYTA128F93425AC,,nan,nan
TRAWRWK128F4260B37,,nan,nan
TRAINYU128F4246BD1,Oxford/ England,nan,nan
TRBAZYH128F4288198,,nan,nan
TRAILKS128F14A3AC9,,nan,nan
TRAATNJ128F42631BA,Bakersfield/ CA,nan,nan
TRAWVWS128F42ADCD1,,nan,nan
TRAEUIW12903D018F0,Galveston/ TX,nan,nan
TRAWPBO128F933D918,,nan,nan
TRBCYOI128F1455566,New York/ NY,nan,nan
TRARDJY128F14750EA,Los Angeles/ CA,nan,nan
TRANVZT128F42AE134,Austin/ TX,nan,nan
TRAUZFY128F42BCE57,,nan,nan
TRAWOHD128F148D176,Chicago/ IL,nan,nan
TRAVELY128F42606F8,Queens/ NY,nan,nan
TRAADQX128F422B4CF,,nan,nan
TRBCGRI128F93355E9,Glasgow/ Scotland,nan,nan
TRBGWEG12903CFF7EE,Virginia,nan,nan
TRAPMYO128F14903F5,,nan,nan
TRAVCNA128F930975C,Sweden,nan,nan
TRAUOPA128F93537F2,Syracuse/ NY,nan,nan
TRAPASL128F422BC00,Providence/ RI,nan,nan
TRAGJQL128E078E840,Timmins/ Ontario/ Canada,nan,nan
TRATGTP128F427021D,Brooklyn/ NY,nan,nan
TRAGDPS128F145F8EE,Los Angeles/ CA,nan,nan
TRAAMPA128F92E7D0D,Los Angeles/ CA,nan,nan
TRAFMME128F932B4D5,Seattle/ Washington,nan,nan
TRARBBK128F427ED68,,nan,nan
TRAHFHR12903CCCAF8,New York NY,nan,nan
TRBHCXR128F92E7D0E,Los Angeles/ CA,nan,nan
TRBDSFP128E07937B9,,nan,nan
TRAGLSU128F145FFB2,,nan,nan
TRAWIJG128F42B502C,Timmins/ Ontario/ Canada,nan,nan
TRAXWDS12903CEE35E,Sydney/ Australia,nan,nan
TRACJPW128F932CA4C,,nan,nan
TRAPVYD12903CE0269,NORWAY,nan,nan
TRAHMIV128F14693DC,United Kingdom,nan,nan
TRBDIOP128EF35F99C,Los Angeles/ CA,nan,nan
TRAEVRU128F4263351,Santa Monica/ CA,nan,nan
TRAFEEO12903CFEC87,,nan,nan
TRAJPPX128F4259FD4,London/ England,nan,nan
TRAGSGF128E0780CA7,,nan,nan
TRASYQQ128F425092B,,nan,nan
TRAXCZO12903CB819D,,nan,nan
TRBHHUC128F4294C6F,CANADA - Ontario,nan,nan
TRAKGDZ12903CE4867,LONG BEACH/ California,nan,nan
TRBHGVH128F148AD73,,nan,nan
TRBGCLK128F4237A50,Chiswick/ London/ England,nan,nan
TRAACHN128F1489601,,nan,nan
TRAPGFN12903CB5BAC,,nan,nan
TRAABVM128F92CA9DC,,nan,nan
TRBCVPD12903CECBE8,,nan,nan
TRACBWX128F92FD725,Edmonton/ Alberta/ Canada,nan,nan
TRAZVFJ128F9310CE2,Oxford/ UK,nan,nan
TRACMHD128F931FB14,Helsinki/ Finland,nan,nan
TRAFWRG128F4295089,Miami/ Florida,nan,nan
TRAKPJC128F4258613,,nan,nan
TRALMTD128E07862AC,Newark/ NJ,nan,nan
TRBDTNY128F9327A10,England,nan,nan
TRAHCRI128F4255C6E,Paw Paw/ WV,nan,nan
TRAUODU128F9307467,Charlottesville/ VA,nan,nan
TRABRMJ128E0780E42,Poway/ CA,nan,nan
TRAFRCH12903CEA22D,,nan,nan
TRABUIN128F93022FF,,nan,nan
TRAPRQZ128F427E188,Calcutta/ India,nan,nan
TRAXQDR128F4260194,,nan,nan
TRBHKKJ128F427A3B1,Croix-des-Bouquets/  Haiti,nan,nan
TRBCIRO128F42B0277,,nan,nan
TRBDDKF128F426BF7B,PHILADELPHIA/ Pennsylvania,nan,nan
TRAPESV128F92FE5E9,Shelby/ North Carolina,nan,nan
TRBAHBP128F42985D6,New Jersey,nan,nan
TRAJFRJ128F9328FF1,Memphis/ Tennessee,nan,nan
TRAOJEW128F4294CBD,Mogadishu/ Somalia,nan,nan
TRAATIU128F4291A84,Atlanta/ GA,nan,nan
TRBIFUD128F1495AE2,,nan,nan
TRAHXWI128F428B7DA,,nan,nan
TRBFUMI128F42B5731,New York/ NY,nan,nan
TRBAHID128F4278EAF,Barranquilla/ Colombia,nan,nan
TRAVGFT128F424278B,,nan,nan
TRAQAIW12903C9B61E,,nan,nan
TRAUNNH12903CB038C,,nan,nan
TRAQGNV128C7196894,Poway/ CA,nan,nan
TRBAYER128F933D3B7,Boston/ MA,nan,nan
TRAMOLS128F92F99E3,,nan,nan
TRAGWTT128F148CF2C,Gainesville/ FL,nan,nan
TRBGITL12903CF2662,,nan,nan
TRBCANP128F92FA6B9,New York/ NY,nan,nan
TRAYSMW128F1468307,,nan,nan
TRAMIUD128E07825DB,Richmond VA,nan,nan
TRAZWDT128F4241B14,Quantico/ VA,nan,nan
TRAIUYZ128F425BD2F,,nan,nan
TRAYJOF128F92F9EEA,,nan,nan
TRAIZWI128F4247EFD,,nan,nan
TRAZVZJ128F92EF28A,San Francisco/ CA,nan,nan
TRAQKPR128F427DDF8,Centre,nan,nan
TRAOKSC128F4264989,,nan,nan
TRAGYDZ12903D0957F,Seattle/ WA,nan,nan
TRADXCF128EF357134,Dundee/ Scotland,nan,nan
TRBFGFF12903CF4183,,nan,nan
TRANCSE128F93044F1,Barranquilla/ Colombia,nan,nan
TRAEFDK128F1473B92,United States,nan,nan
TRAOYHS128F427EF8B,Sacramento/ CA,nan,nan
TRAAGPJ128F428CD1B,,nan,nan
TRAOEAQ12903CC26BD,Long Island/ NY,nan,nan
TRANIJQ128F4298A10,New York/ NY,nan,nan
TRBBILZ12903CB422C,San Francisco/ CA,nan,nan
TRBHBGB128F931E4CF,Philadelphia/ Pennsylvania,nan,nan
TRACSIE128F427F98E,The Bronx/ New York,nan,nan
TRAEWLF128F42B1F89,Minneapolis/ MN,nan,nan
TRAWDWZ128F9340E55,Fairfax/ California,nan,nan
TRAHLDM128F933A3B1,,nan,nan
TRALJBT128F4266FD8,The Bronx/ New York,nan,nan
TRBAXDP12903CD1922,Ukiah/ CA,nan,nan
TRAEVRI128F93608F3,Chiswick/ London/ England,nan,nan
TRAZXBO128F429DA70,,nan,nan
TRANCFS12903C9B61B,,nan,nan
TRACRON12903CB59E6,Columbus/ OH,nan,nan
TRAUZTR128F9351D2A,,nan,nan
TRASLVK128F935046C,,nan,nan
TRBGTZD128EF34B6C3,,nan,nan
TRANJWP128F428560C,,nan,nan
TRBFJPO128F4295BE3,Barranquilla/ Colombia,nan,nan
TRBGHVM128F146B47A,,nan,nan
TRAJZCH128F933D2B7,Boston/ MA,nan,nan
TRAVUAJ128E078EDA2,Boston/ MA,nan,nan
TRBBMPH128F1469775,United Kingdom,nan,nan
TRBGIDU128F4241A2E,Seattle/ WA,nan,nan
TRAEASY128F148247C,,nan,nan
TRAJSRH128F425DDC7,,nan,nan
TRAQDZZ128F42AF66A,Memphis/ TN,nan,nan
TRAZCSY128F42683F2,California - LA,nan,nan
TRANCCN128E0794B18,Los Angeles/ CA,nan,nan
TRASYWM128F14804A5,,nan,nan
TRAOWBP128F4257C64,Galveston/ TX,nan,nan
TRAYOXN128E07926A8,,nan,nan
TRAETTV12903CBBD09,Seattle/ USA,nan,nan
TRAASQC128F93480F0,Chicago,nan,nan
TRADPDI128F92EBD32,,nan,nan
TRASYIH12903D08529,Los Angeles,nan,nan
TRBEKGR128F425DA44,Los Angeles/ CA,nan,nan
TRBFZRA128F427030C,,nan,nan
TRARMHA128F92E7D32,Los Angeles/ CA,nan,nan
TRBHZUN12903CA60F7,,nan,nan
TRABJWA128F9309C09,Helsinki/ Finland,nan,nan
TRARHCB128F148D1B0,New Jersey,nan,nan
TRBECKU128F428B08A,,nan,nan
TRANIVG128F1484DED,Los Angeles &amp; New York,nan,nan
TRAXJOA128F93474E8,,nan,nan
TRAQITZ128F4265E0E,Kingsland/ AR,nan,nan
TRBCSDW128F424D686,Maine,nan,nan
TRAMEEC128F9307A54,,nan,nan
TRBEMTF128F42660CA,,nan,nan
TRBEFFG128E0793C24,,nan,nan
TRBHJJP128F145EA12,San Antonio/ TX,nan,nan
TRAFJVH128F42BC25E,Compton CA,nan,nan
TRBEUKI128F9318306,Teoc/ MS,nan,nan
TRAKQXJ128F147A028,Ukiah/ CA,nan,nan
TRAWXYD128F4255FBD,,nan,nan
TRACUCT128F422BC2F,Denver/ CO,nan,nan
TRBGWVI128E0788AE7,,nan,nan
TRAGALM128F4236C86,Japan,nan,nan
TRAKFSV128F4257C10,,nan,nan
TRARSZV12903CDB2DE,Hudsonville/ MS,nan,nan
TRACFAP128E07862C1,,nan,nan
TRBACUF128F4247F8C,Minneapolis/ MN,nan,nan
TRBBVNR128E078E1E4,Los Angeles/ CA,nan,nan
TRAJBTZ12903CB818C,,nan,nan
TRAMKKJ128F1463612,NY - Long Island,nan,nan
TRALEPN128F9311179,Sheffield/ South Yorkshire/ Engla,nan,nan
TRAVKJJ128F424DA32,Chicago/ IL,nan,nan
TRBBMLR128F1466822,,nan,nan
TRAMARM128E0796A50,Stillwater/ OK,nan,nan
TRBGKGR128F92EE206,,nan,nan
TRAJIUK128F42668E6,Wisconsin,nan,nan
TRBFMFO128F421BFD4,,nan,nan
TRAFZHK128F145E86B,Wilkes Barre/ PA,nan,nan
TRBDYIC128F92F1D17,Detroit MI,nan,nan
TRAVRPL128F145E874,Wilkes Barre/ PA,nan,nan
TRAZEYQ12903C9D099,Beaumont/ Texas,nan,nan
TRAYABW128F4235888,Berkeley/ CA,nan,nan
TRAAAEF128F4273421,London/ England,nan,nan
TRAWEIX128F14B0F05,Mt. Vernon/ NY,nan,nan
TRAVPHL128F424EAE1,Escatawpa/ MS,nan,nan
TRBCBVY128F933A195,,nan,nan
TRAUHXR12903CBDFE4,,nan,nan
TRAWHZK12903CB5A01,Columbus/ OH,nan,nan
TRABZRZ128F42628AD,London/ England,nan,nan
TRABYEY128F933773A,Pittsburgh/ PA,nan,nan
TRAUXSO128F42B863C,Newcastle,nan,nan
TRBFSNP128F14572B5,California - LA,nan,nan
TRANMOT128F92EFF19,Cross Lane/ WV,nan,nan
TRAFOKY128F4276D91,,nan,nan
TRANVKJ128F92F1561,,nan,nan
TRBBJAJ128F425DA40,Los Angeles/ CA,nan,nan
TRAYQKQ128F1491182,London/ England,nan,nan
TRAEMNZ128F9334662,Boston/ MA,nan,nan
TRAUCZX128F149D9AE,Vidor/ TX,nan,nan
TRANRFB128F1481F1E,Batley/ England,nan,nan
TRACFZI128E0795424,California,nan,nan
TRABOXX128F92F29EB,Minnesota,nan,nan
TRAKAGL128F148B3B7,,nan,nan
TRABVWG128F9359323,Los Angeles/ California,nan,nan
TRAYGHE12903CD213E,Braintree/ Essex/ England,nan,nan
TRBHSMF128F4285B9C,,nan,nan
TRAXPHE128F92F4100,Middlesbrough/ England,nan,nan
TRABJIX128C7196953,London,nan,nan
TRAPTRH128F4271659,Beaumont/ Texas,nan,nan
TRAWYNV128F92F5E7E,,nan,nan
TRABSAR128F42324A8,,nan,nan
TRARIZK128F92FF27A,Garnant/ Wales,nan,nan
TRBEYJR128F4292651,Severn/ MD,nan,nan
TRAQEOP12903CA65E2,Barranquilla/ Colombia,nan,nan
TRBALIJ128F14884B5,Muskegon/ MI,nan,nan
TRAFRKU128F933CE16,Atlanta/ GA,nan,nan
TRARJPL128F931C7D2,Salt Lake City/ UT,nan,nan
TRBGNCL128F428F56F,,nan,nan
TRAQQHJ128F9345DC3,Chicago,nan,nan
TRBCJSZ128E07969B5,,nan,nan
TRACHKX128F934B07A,Stockholm,nan,nan
TRBHKKK128F427E9FF,Escatawpa/ MS,nan,nan
TRAKOEB128F1478783,Chicago,nan,nan
TRAKWZL128F93346EE,,nan,nan
TRAICJQ12903CF2681,,nan,nan
TRAVOLQ128F9322DB4,,nan,nan
TRAWRHQ128F1495E6B,Niteroi/ Brazil,nan,nan
TRAMBLO128F4287D24,,nan,nan
TRAQEUQ128F425282E,POLAND,nan,nan
TRALNOD128F4264AEB,Santa Monica/ CA,nan,nan
TRAMFFW128F4263AD7,London/ England,nan,nan
TRAUPSV128F427B621,,nan,nan
TRAHORF12903CDA9FB,Corte Madera CA,nan,nan
TRARKGW128F92EB8F9,NL,nan,nan
TRAPAZE128F4233355,Pittsburgh/ PA,nan,nan
TRANRWM128F42873F9,Tempe/ AZ,nan,nan
TRAYGYF128F930CA01,,nan,nan
TRBDEXM128F4291A7F,,nan,nan
TRAYEGN128F9361233,,nan,nan
TRADGXI128F92EF28F,San Francisco/ CA,nan,nan
TRAPLMD128F932FF43,Los Angeles/ CA,nan,nan
TRANPXL128F42B8FED,,nan,nan
TRBCWOW128F1467692,,nan,nan
TRAFDFD128F14B07AB,,nan,nan
TRASSZL128F428FA5D,,nan,nan
TRARPTJ12903CE2898,,nan,nan
TRANLRX128F4259030,,nan,nan
TRAGLFE128F428566B,,nan,nan
TRAASUZ128F9314950,Bakersfield/ CA,nan,nan
TRATJSR128F4266791,The Bronx/ New York,nan,nan
TRARANL128F1478789,Chicago,nan,nan
TRAZSVT128F92DEC7B,,nan,nan
TRACFOJ128F4253EFA,,nan,nan
TRAFBML128F93163FB,,nan,nan
TRBFVZI128F147FCAF,Chiswick/ London/ England,nan,nan
TRAYJHF128F4294CB8,Mogadishu/ Somalia,nan,nan
TRAIPST128F9302AE9,St. Joseph/ MO,nan,nan
TRAZXDC128F429874E,Kingston/ Jamaica,nan,nan
TRAMBBV128F9337714,Pittsburgh/ PA,nan,nan
TRAAPPQ128F14961F5,Athens/ GA,nan,nan
TRAWLGG128F42884CA,Atlanta/ GA,nan,nan
TRAHCHN128F4276D58,Arles/ France,nan,nan
TRBFBUO128F42A3DED,Eskilstuna/ Sweden,nan,nan
TRAYKOC128F930D2B8,Boston/ MA,nan,nan
TRAUVUF128F148D1AA,New Jersey,nan,nan
TRAWTGS128F14569A8,London/ England,nan,nan
TRBFBOG128F9356C6E,allentown Pennsylvania USA,nan,nan
TRAAXUY128F426BA55,Los Angeles/ CA,nan,nan
TRAMSSK128F92FDC80,,nan,nan
TRAAKAS128F4246013,,nan,nan
TRAMLGE128F92F81DD,,nan,nan
TRABHVL128F92EFB0E,Bridgend/ South Wales/ UK,nan,nan
TRAWDLK128EF342E1E,Newark/ NJ,nan,nan
TRBBEYU128F4235623,,nan,nan
TRAZRAR128F1477778,,nan,nan
TRBDVZL128F92F579F,,nan,nan
TRAEXHW128F92E2602,Geneva/ NY,nan,nan
TRADAYS12903CDBE0F,Greenwood/ MS,nan,nan
TRASMER128F4272C1D,,nan,nan
TRAXMWV128F14612AB,,nan,nan
TRAYZZB128F425B73A,,nan,nan
TRBEHNT128E0792546,,nan,nan
TRBIBTU128F92FDC9D,,nan,nan
TRBEAWP128F422B4D1,,nan,nan
TRBFRZX128F9341EAE,East Flatbush/ Brooklyn/ NY,nan,nan
TRBBQPP128F92EE611,,nan,nan
TRACYDP128F932BC8E,,nan,nan
TRAVHLR128F146B476,,nan,nan
TRAWSXV128F4273E35,Queensbridge/ NY,nan,nan
TRABUVN128F930633C,,nan,nan
TRASBZK128F42692CA,,nan,nan
TRACCVZ128F4291A8A,Atlanta/ GA,nan,nan
TRBFWSP128F92F29B4,GERMANY,nan,nan
TRAQOXO128F42636BD,London/ England,nan,nan
TRBAAGQ128F148D17E,,nan,nan
TRADODV128F4283EB6,Queensbridge/ NY,nan,nan
TRAVJDB128F93305EB,,nan,nan
TRBHDGL128F42324A7,,nan,nan
TRAKRXN128F42670BE,,nan,nan
TRAUYLT128F427538E,,nan,nan
TRAWGLP128F92DE5AD,LOS ANGELES/ California,nan,nan
TRBGWWM12903CCE627,,nan,nan
TRAQVDI128F42969C8,,nan,nan
TRARIRG128F147FC96,Chiswick/ London/ England,nan,nan
TRAMRQS12903D0FD39,,nan,nan
TRAUWWP12903CC79CB,,nan,nan
TRAGHBP128E0793AF7,London/ England,nan,nan
TRAXWQU128F42716E2,Seymour/ IN,nan,nan
TRANCOS128F4267DFB,Borlänge,nan,nan
TRBADGN128F42AA534,Cádiz,nan,nan
TRAXJHG128F427EA02,Escatawpa/ MS,nan,nan
TRBCCAJ128F148CBBB,allentown Pennsylvania USA,nan,nan
TRATZQS128F1467D4B,Georgia,nan,nan
TRAAIAE128F42AC53D,Medicine Lodge/ KS,nan,nan
TRABXVE128F4284AFC,Forest Hills/ Queens/ New York City/ NY/ USA,nan,nan
TRAKOAK128F4248629,,nan,nan
TRBGMJF128F425E8EA,Los Angeles/ CA,nan,nan
TRAWVNL128F9327983,England,nan,nan
TRBANBC128F147E363,,nan,nan
TRAWFGF128E0792FE0,,nan,nan
TRACCJA128F149A144,,nan,nan
TRAPJPD128F14572B3,California - LA,nan,nan
TRAGJPA128F92F9665,Dublin/ Ireland,nan,nan
TRAIQUG128F92F946E,,nan,nan
TRANZIL128F42A2670,Locust Ridge/ TN,nan,nan
TRADJKG12903CE049F,,nan,nan
TRBAHEH128F9327D39,Croix-des-Bouquets/  Haiti,nan,nan
TRAKYWY128F9310CF4,Oxford/ UK,nan,nan
TRBAWKB128F931BAEE,Minnesota,nan,nan
TRBCNWM128F92D50EC,Queens/ NY,nan,nan
TRAVLWL128F424EF6A,Stillwater/ OK,nan,nan
TRAEHXW128F146F3C5,Houston/ TX,nan,nan
TRAQLOD128F145EC9D,Madrid/ Spain,nan,nan
TRBCRDW128F422D8BA,,nan,nan
TRBHGUK128E078E031,,nan,nan
TRADKDX128F9320676,Seattle/ WA,nan,nan
TRACRTS128F9300F7E,Washington/ D.C.,nan,nan
TRAUVSF128F14A0B6F,,nan,nan
TRALRTY128F428BE43,Atlanta/ GA,nan,nan
TRAXDAH128F422BBFC,Providence/ RI,nan,nan
TRAGNBQ128F149CB93,Wilmette/ IL,nan,nan
TRBATRO128F4225566,,nan,nan
TRASDGG128F933EDE2,Pittsburgh/ PA,nan,nan
TRAFRVU128F42649A6,,nan,nan
TRBAIKM12903CBCF21,Regina/ Saskatchewan/ Canada,nan,nan
TRAVYXL128EF34722F,,nan,nan
TRBETHV128F429722F,Cádiz,nan,nan
TRARFKP12903CF5DF1,,nan,nan
TRAKCFG128F149D9B7,Vidor/ TX,nan,nan
TRAZVYP128F1459AD9,London/ England,nan,nan
TRAKMUO128F4215890,Madrid/ Spain,nan,nan
TRAYAKN128F9330A65,,nan,nan
TRAPNII12903CEA4F8,England,nan,nan
TRBCJUF128F93190C2,LDN,nan,nan
TRAHUZS12903C9D9DD,,nan,nan
TRBBZOG128F422B02B,,nan,nan
TRAUONA128F4255A38,,nan,nan
TRAZLLR128F42A8DCC,United States,nan,nan
TRBHEBY128F148CF2B,Gainesville/ FL,nan,nan
TRBAZFD12903CB641D,,nan,nan
TRAWKPT128E0795428,California,nan,nan
TRAXLIU128E07860D4,,nan,nan
TRAUYZG12903CDA4E9,Sayreville/ NJ,nan,nan
TRAEAZV12903D0CBA6,,nan,nan
TRBGZLM128F4221E63,Gainesville/ FL,nan,nan
TRBBAHD128F428E0FE,,nan,nan
TRBFIAK128E07823AA,Wales,nan,nan
TRAKXMS12903CB36F2,Charlottesville/ VA,nan,nan
TRADRNN128F92F7172,Chicago/ IL,nan,nan
TRAYLKH128F427BCCC,,nan,nan
TRBCMSO128F92E6AE5,,nan,nan
TRASPAS128E078DFB3,,nan,nan
TRAPYCR128F4289604,,nan,nan
TRATAIB128F92E81CB,Santa Barbara,nan,nan
TRBFNBC12903CA9800,Atlanta/ GA,nan,nan
TRAFUWI128F934C730,Antarctica,nan,nan
TRAOSFC128F42618F6,New Orleans/ LA,nan,nan
TRBCBLN128F932BC9D,,nan,nan
TRARFAZ128F93481AD,,nan,nan
TRANLJA128F42A5379,Locust Ridge/ TN,nan,nan
TRBESEX128F147BB13,,nan,nan
TRAMRFE128F4267DF3,Borlänge,nan,nan
TRANWOF12903CB3E19,Los Angeles/ CA,nan,nan
TRBGHND128E079438C,New York/ NY,nan,nan
TRAPMTY128F1459DA1,,nan,nan
TRAQEOG128F9353981,Syracuse/ NY,nan,nan
TRAIBXJ128F4260700,Queens/ NY,nan,nan
TRAMFRD128E07833DA,Locust Ridge/ TN,nan,nan
TRAEPZJ12903CB00C4,,nan,nan
TRARIIY128F147187D,New York/ NY,nan,nan
TRAGPAF128EF34542A,Long Island/ NY,nan,nan
TRBBVSO128F9341C12,Medicine Lodge/ KS,nan,nan
TRALDUE128F9312AF2,Dundee/ Scotland,nan,nan
TRBHZYO128E07862BE,,nan,nan
TRAPJFL128F42AA7B4,Seattle/ WA,nan,nan
