track_id,artist_location,latitude,longitude,cluster
TRASQIB128F426693D,The Bronx  New York,40.8527855,-73.8390537935,7
TRANRIK128F148C860,St. Joseph  MO,39.7686055,-94.8466321,1
TRAZOSB128F9302A07,Los Angeles  CA,34.0543942,-118.2439408,4
TRAZDPO128E078ECE6,Boston  MA,42.3604823,-71.0595677,11
TRBAFBU128F427EFCE,London  England,51.5073219,-0.1276473,3
TRBDAVU128F423814A,Sayreville  NJ,40.4592726,-74.3609821,7
TRATCDG128F932B4D2,Seattle  Washington,47.6038321,-122.3300623,8
TRATOHC128EF3460DA,Borlänge,60.4856426,15.4234561,6
TRBFEIX128F426A5F8,Newcastle,54.9770924,-1.6142058,9
TRAPGOC128F932F01A,West London  England,51.5110498,-0.1437339,3
TRBFJGB128F42612B1,Houston  TX,29.675779,-95.4021585102,1
TRAEOOH128F934ACD4,Antarctica,-82.1081819,34.378236,10
TRAYUCR128E078EE0F,London  England,51.5073219,-0.1276473,3
TRASIKP128F423EED7,London  England,51.5073219,-0.1276473,3
TRAKORW128F1484DF0,Los Angeles   New York,34.0143928,-117.8984509,4
TRAMLZC128F92F3EB9,New York NY,40.7305991,-73.9865811,7
TRASIWA12903CFFC4D,St. Mary's  Jamaica,18.0247003,-76.82161165,14
TRAILUH128E0784D6D,St. Louis  MO,38.6272733,-90.1978888,1
TRASXHB128F933D3BD,Boston  MA,42.3604823,-71.0595677,11
TRAESJK128E0792227,St. Joseph  MO,39.7686055,-94.8466321,1
TRAJOIH128F14B08F7,ITALY,42.6384261,12.674297,6
TRAAHEG128E07861C3,Newark  NJ,40.735657,-74.1723666,7
TRAEGGV128F92F29B2,GERMANY,51.0834196,10.4234469,6
TRBBKLD128F424ABF5,Louisiana,30.8703881,-92.0071259,1
TRAGBHV128F4295074,Miami  Florida,25.7742658,-80.1936588,14
TRBBJFO12903D074EE,Los Angeles  CA,34.0543942,-118.2439408,4
TRBIHAU128F425C317,Amherst  MA,42.3803676,-72.5231429,11
TRAJXNB128F4261F43,Carle Place  New York,40.7526008,-73.6104057,7
TRAINYU128F4246BD1,Oxford  England,51.752225,-1.2583027,3
TRAATNJ128F42631BA,Bakersfield  CA,35.3738712,-119.0194638,4
TRAEUIW12903D018F0,Galveston  TX,29.299328,-94.7945881,1
TRBCYOI128F1455566,New York  NY,40.7305991,-73.9865811,7
TRARDJY128F14750EA,Los Angeles  CA,34.0543942,-118.2439408,4
TRANVZT128F42AE134,Austin  TX,30.2711286,-97.7436994,1
TRAWOHD128F148D176,Chicago  IL,41.8755546,-87.6244211,1
TRAVELY128F42606F8,Queens  NY,40.6524927,-73.7914213158,7
TRBCGRI128F93355E9,Glasgow  Scotland,55.856656,-4.2435816,9
TRBGWEG12903CFF7EE,Virginia,37.1232245,-78.492772,7
TRAVCNA128F930975C,Sweden,59.6749712,14.5208584,6
TRAUOPA128F93537F2,Syracuse  NY,43.0481221,-76.1474243,7
TRAPASL128F422BC00,Providence  RI,51.4325529,-2.6640438,3
TRAGJQL128E078E840,Timmins  Ontario  Canada,48.4759183,-81.3351617,7
TRATGTP128F427021D,Brooklyn  NY,40.6501038,-73.9495822,7
TRAGDPS128F145F8EE,Los Angeles  CA,34.0543942,-118.2439408,4
TRAAMPA128F92E7D0D,Los Angeles  CA,34.0543942,-118.2439408,4
TRAFMME128F932B4D5,Seattle  Washington,47.6038321,-122.3300623,8
TRAHFHR12903CCCAF8,New York NY,40.7305991,-73.9865811,7
TRBHCXR128F92E7D0E,Los Angeles  CA,34.0543942,-118.2439408,4
TRAWIJG128F42B502C,Timmins  Ontario  Canada,48.4759183,-81.3351617,7
