track_id,genre,location,latitude,longitude
TRASQIB128F426693D,Pop,The Bronx  New York,40.8527855,-73.8390537935
TRANRIK128F148C860,Rap,St. Joseph  MO,39.7686055,-94.8466321
TRAZOSB128F9302A07,Rock|Pop,Los Angeles  CA,34.0543942,-118.2439408
TRAZDPO128E078ECE6,Rock,Boston  MA,42.3604823,-71.0595677
TRBAFBU128F427EFCE,Rock,London  England,51.5073219,-0.1276473
TRBDAVU128F423814A,Rock,Sayreville  NJ,40.4592726,-74.3609821
TRATCDG128F932B4D2,Rock,Seattle  Washington,47.6038321,-122.3300623
TRATOHC128EF3460DA,Rock,Borlänge,60.4856426,15.4234561
TRBFEIX128F426A5F8,Rock,Newcastle,54.9770924,-1.6142058
TRAPGOC128F932F01A,Reggae,West London  England,51.5110498,-0.1437339
TRBFJGB128F42612B1,RnB|Pop,Houston  TX,29.675779,-95.4021585102
TRAEOOH128F934ACD4,Metal|Rock,Antarctica,-82.1081819,34.378236
TRAYUCR128E078EE0F,Rock,London  England,51.5073219,-0.1276473
TRASIKP128F423EED7,Electronic,London  England,51.5073219,-0.1276473
TRAKORW128F1484DF0,Pop|RnB,Los Angeles   New York,34.0143928,-117.8984509
TRAMLZC128F92F3EB9,Rock,New York NY,40.7305991,-73.9865811
TRASIWA12903CFFC4D,Reggae,St. Mary's  Jamaica,18.0247003,-76.82161165
TRAILUH128E0784D6D,RnB|Rock,St. Louis  MO,38.6272733,-90.1978888
TRASXHB128F933D3BD,Rock|Reggae,Boston  MA,42.3604823,-71.0595677
TRAESJK128E0792227,Rap,St. Joseph  MO,39.7686055,-94.8466321
TRAJOIH128F14B08F7,Rock,ITALY,42.6384261,12.674297
TRAAHEG128E07861C3,Rap,Newark  NJ,40.735657,-74.1723666
TRAEGGV128F92F29B2,Rock,GERMANY,51.0834196,10.4234469
TRBBKLD128F424ABF5,Metal,Louisiana,30.8703881,-92.0071259
TRAGBHV128F4295074,Rock|Punk,Miami  Florida,25.7742658,-80.1936588
TRBBJFO12903D074EE,Rap,Los Angeles  CA,34.0543942,-118.2439408
TRBIHAU128F425C317,Rock,Amherst  MA,42.3803676,-72.5231429
TRAJXNB128F4261F43,Rock,Carle Place  New York,40.7526008,-73.6104057
TRAINYU128F4246BD1,Rock|Metal,Oxford  England,51.752225,-1.2583027
TRAATNJ128F42631BA,Metal|Rock,Bakersfield  CA,35.3738712,-119.0194638
TRAEUIW12903D018F0,Rock,Galveston  TX,29.299328,-94.7945881
TRBCYOI128F1455566,Rap,New York  NY,40.7305991,-73.9865811
TRARDJY128F14750EA,Rock,Los Angeles  CA,34.0543942,-118.2439408
TRANVZT128F42AE134,Country,Austin  TX,30.2711286,-97.7436994
TRAWOHD128F148D176,Rock|Pop,Chicago  IL,41.8755546,-87.6244211
TRAVELY128F42606F8,Rap,Queens  NY,40.6524927,-73.7914213158
TRBCGRI128F93355E9,Rock,Glasgow  Scotland,55.856656,-4.2435816
TRBGWEG12903CFF7EE,Pop,Virginia,37.1232245,-78.492772
TRAVCNA128F930975C,Metal|Rock,Sweden,59.6749712,14.5208584
TRAUOPA128F93537F2,Folk|Rock,Syracuse  NY,43.0481221,-76.1474243
TRAPASL128F422BC00,Rock,Providence  RI,51.4325529,-2.6640438
TRAGJQL128E078E840,Country,Timmins  Ontario  Canada,48.4759183,-81.3351617
TRATGTP128F427021D,Rock,Brooklyn  NY,40.6501038,-73.9495822
TRAGDPS128F145F8EE,Rock,Los Angeles  CA,34.0543942,-118.2439408
TRAAMPA128F92E7D0D,Punk,Los Angeles  CA,34.0543942,-118.2439408
TRAFMME128F932B4D5,Rock,Seattle  Washington,47.6038321,-122.3300623
TRAHFHR12903CCCAF8,Rock,New York NY,40.7305991,-73.9865811
TRBHCXR128F92E7D0E,Punk,Los Angeles  CA,34.0543942,-118.2439408
TRAWIJG128F42B502C,Country,Timmins  Ontario  Canada,48.4759183,-81.3351617
TRAXWDS12903CEE35E,Rock,Sydney  Australia,-33.8548156,151.2164539
TRAPVYD12903CE0269,Rock|Metal,NORWAY,64.574131,11.5270102892
TRAHMIV128F14693DC,Rock,United Kingdom,54.7023545,-3.2765752
TRBDIOP128EF35F99C,Rock,Los Angeles  CA,34.0543942,-118.2439408
TRAEVRU128F4263351,RnB|Rock,Santa Monica  CA,34.0195598,-118.4869738
TRAJPPX128F4259FD4,Rock,London  England,51.5073219,-0.1276473
TRBHHUC128F4294C6F,Rock|Folk,CANADA - Ontario,50.0000002,-86.0
TRAKGDZ12903CE4867,Rock|Metal,LONG BEACH  California,33.7774658,-118.188487
TRBGCLK128F4237A50,Pop,Chiswick  London  England,51.4923137,-0.2638179
TRACBWX128F92FD725,Electronic,Edmonton  Alberta  Canada,53.5343609,-113.5065084
TRAZVFJ128F9310CE2,Rock,Oxford  UK,51.752225,-1.2583027
TRACMHD128F931FB14,Metal|Rock,Helsinki  Finland,60.1666277,24.9435079
TRAFWRG128F4295089,Rock|Punk,Miami  Florida,25.7742658,-80.1936588
TRALMTD128E07862AC,Rap,Newark  NJ,40.735657,-74.1723666
TRBDTNY128F9327A10,Rock,England,52.7954791,-0.540240236617
TRAHCRI128F4255C6E,Country,Paw Paw  WV,39.5321154,-78.4567384
TRAUODU128F9307467,Rock,Charlottesville  VA,38.029306,-78.476678
TRABRMJ128E0780E42,Pop|Rock,Poway  CA,32.9628234,-117.0358645
TRAPRQZ128F427E188,Rock,Calcutta  India,22.5677459,88.3476023
TRBHKKJ128F427A3B1,Rap|Rock,Croix-des-Bouquets   Haiti,18.5775444,-72.2296218
TRBDDKF128F426BF7B,Rock|Folk,PHILADELPHIA  Pennsylvania,39.9523993,-75.1635898
TRAPESV128F92FE5E9,Country,Shelby  North Carolina,35.2923513,-81.5356462
TRBAHBP128F42985D6,Rock|Punk,New Jersey,40.0757384,-74.4041621
TRAJFRJ128F9328FF1,Blues,Memphis  Tennessee,35.1490215,-90.0516284
TRAOJEW128F4294CBD,Rap|Rock,Mogadishu  Somalia,2.0427779,45.3385636
TRAATIU128F4291A84,Metal,Atlanta  GA,33.7490987,-84.3901848
TRBFUMI128F42B5731,Rock,New York  NY,40.7305991,-73.9865811
TRBAHID128F4278EAF,Pop,Barranquilla  Colombia,11.04667645,-74.8490503668
TRAQGNV128C7196894,Rock,Poway  CA,32.9628234,-117.0358645
TRBAYER128F933D3B7,Rock|Reggae,Boston  MA,42.3604823,-71.0595677
TRAGWTT128F148CF2C,Rock,Gainesville  FL,29.67360855,-82.3234140624
TRBCANP128F92FA6B9,Pop|Rock,New York  NY,40.7305991,-73.9865811
TRAMIUD128E07825DB,Rock,Richmond VA,-32.8660751,151.499496964
TRAZWDT128F4241B14,Country|Rock,Quantico  VA,38.5228755,-77.2901862045
TRAZVZJ128F92EF28A,Punk|Rock,San Francisco  CA,37.7792808,-122.4192362
TRAQKPR128F427DDF8,Rock|Pop,Centre,47.5490251,1.7324062
TRAGYDZ12903D0957F,Rock,Seattle  WA,47.6038321,-122.3300623
TRADXCF128EF357134,Rock,Dundee  Scotland,56.4593653,-2.9735212
TRANCSE128F93044F1,Latin,Barranquilla  Colombia,11.04667645,-74.8490503668
TRAEFDK128F1473B92,RnB,United States,39.7837304,-100.4458824
