track_id,genre,lyrics
TRAAABD128F429CF47,Rock|RnB,i|10 you|17 to|8 and|2 a|2 me|1 it|3 not|2 in|3 my|4 is|3 your|7 that|5 do|5 are|6 for|4 no|1 have|6 so|2 know|5 but|3 what|3 when|2 time|3 can|1 there|5 la|7 get|2 got|3 never|2 feel|2 want|2 would|2 day|4 away|2 yeah|4 heart|5 could|2 need|3 our|2 look|2 where|2 thing|2 think|1 live|1 onli|2 tri|1 keep|3 dream|2 wanna|3 find|3 hear|1 believ|1 everyth|2 someth|4 insid|2 chang|2 soul|7 new|1 start|2 pleas|2 true|1 while|2 deep|4 beat|1 after|2 fade|2 wast|3 trust|1 alreadi|2 style|2 asleep|1 wors|2 goal|2 
TRAAAEF128F4273421,Rock,i|5 the|4 you|3 to|2 and|1 a|11 not|4 is|9 of|3 that|2 do|1 are|1 for|3 know|1 this|1 with|1 when|1 can|1 she|3 if|1 got|3 from|1 feel|1 let|1 would|3 her|1 eye|1 world|1 right|1 think|1 through|1 or|1 wo|1 girl|17 everi|9 had|1 has|1 someth|13 tonight|1 old|1 boy|1 mine|1 someon|1 star|1 while|1 wish|1 smile|1 shine|1 yourself|1 ask|3 white|1 three|1 send|1 treat|1 relax|1 tip|1 pearl|1 curl|1 adam|1 
TRAAAFD128F92F423A,Punk|Rock,i|16 the|4 to|1 and|3 a|5 me|5 it|3 not|4 in|3 my|2 is|6 of|3 do|1 on|2 are|2 am|4 all|2 for|1 no|1 have|4 this|1 just|1 now|1 there|2 one|1 got|1 never|1 from|1 feel|1 way|2 take|1 would|1 away|4 how|1 could|1 world|1 caus|1 die|2 been|1 think|1 again|1 dream|2 his|2 over|2 turn|2 then|1 walk|1 face|1 word|1 place|1 better|1 him|2 someon|3 those|1 while|1 kill|3 done|1 matter|1 lay|2 red|4 memori|2 tire|1 clear|2 felt|1 secret|1 wave|2 mouth|1 win|1 exist|1 swear|1 none|1 ash|1 ador|1 eras|1 worst|2 sale|1 settl|2 seal|1 worn|1 limb|2 concern|1 runaway|2 
TRAAARJ128F9320760,Rock,i|6 the|7 you|3 to|1 and|15 a|10 me|1 it|13 not|1 in|3 my|2 is|4 your|4 that|1 on|1 will|5 all|2 for|1 no|1 have|1 so|1 but|1 with|1 when|1 like|3 now|1 time|1 there|7 up|2 one|1 they|2 down|7 say|1 would|1 at|1 away|3 yeah|3 by|1 need|1 world|8 caus|3 an|3 wo|1 still|1 us|2 littl|1 call|2 leav|1 them|1 end|1 hear|2 their|1 friend|1 realli|1 seem|1 close|1 while|1 yes|1 onc|1 today|1 roll|3 listen|1 sea|1 citi|1 hous|1 laugh|1 blow|1 carri|1 anymor|1 sign|1 read|1 point|1 finger|1 comin|7 hill|1 quiet|1 rich|1 stood|1 bill|1 card|1 store|1 settl|1 sayin|1 admit|1 pink|8 sweep|2 repent|1 proof|1 factori|1 credit|1 villag|1 
TRAABLR128F423B7E3,Rock,i|11 the|5 you|6 to|3 and|10 a|6 me|6 it|7 not|1 in|3 my|3 is|5 of|3 that|6 do|2 on|5 we|1 am|2 will|1 all|6 for|1 be|1 love|2 so|2 know|1 but|3 with|1 just|4 like|3 now|3 go|1 feel|2 at|1 life|1 by|4 night|2 need|2 right|1 tell|1 live|1 give|1 or|2 keep|2 well|4 still|1 us|1 fall|1 everi|1 leav|2 their|1 these|2 lost|1 hard|1 song|2 free|1 same|1 blue|1 own|1 tear|1 use|1 mean|1 line|2 came|1 ask|2 forget|1 best|2 hurt|1 music|1 late|1 wall|1 lead|1 drink|1 fast|2 tast|1 throw|2 goin|1 both|1 share|1 strang|1 yea|1 sink|2 remind|2 float|2 written|1 swim|2 brown|1 colour|1 gift|1 stain|1 refus|1 cigarett|1 convers|1 vocal|1 possibl|1 complain|1 collect|1 pool|2 product|1 william|2 produc|1 french|1 insist|1 
TRAABVM128F92CA9DC,Rock,i|19 the|5 you|2 to|4 and|5 a|6 me|3 it|8 not|3 in|8 my|13 is|10 of|1 that|2 on|1 are|1 we|1 am|12 will|6 all|6 for|4 no|9 be|3 love|3 so|1 know|1 this|5 with|1 what|4 just|1 like|1 now|4 can|2 come|2 up|6 one|8 down|1 get|1 was|1 if|2 from|1 make|2 way|8 take|1 as|1 day|1 away|2 life|2 here|3 how|3 eye|1 thing|4 world|2 gonna|9 die|1 right|1 tell|3 who|1 through|1 live|5 keep|1 dream|10 well|2 everi|2 face|1 everyth|1 chang|3 god|1 these|1 anoth|1 sun|1 thought|1 peopl|1 without|1 pain|1 seem|3 true|1 close|1 kiss|2 wish|3 done|1 mayb|1 heaven|1 big|3 everybodi|1 happi|1 ai|1 hurt|1 alright|1 sea|1 under|1 reason|1 aliv|3 earth|1 abov|1 whole|2 mother|1 cannot|1 brother|1 share|4 caught|6 father|1 brain|1 someday|1 color|1 race|1 feelin|1 sister|1 imagin|2 sent|1 fantasi|1 among|2 creatur|1 simpli|3 imposs|3 givin|1 harmoni|1 everlast|1 daydream|2 
TRAACER128F4290F96,Metal,i|4 the|11 you|19 to|4 and|4 a|2 me|3 it|7 not|2 in|4 my|2 of|3 your|5 do|1 are|6 we|4 am|2 will|5 all|3 for|1 be|3 have|3 so|5 know|1 this|2 but|1 just|2 like|2 can|2 come|1 there|2 go|1 up|1 they|2 down|3 see|1 never|3 feel|1 let|2 say|1 take|3 babi|3 yeah|1 back|3 heart|1 could|2 night|1 look|1 where|2 eye|2 world|2 caus|1 gonna|1 right|6 think|3 well|1 wo|1 long|1 wanna|2 find|1 over|1 noth|1 everi|3 into|1 leav|1 home|1 ever|2 them|1 face|2 head|1 befor|1 place|1 much|2 last|1 anoth|2 tonight|4 off|1 show|2 break|1 start|1 sky|1 wrong|1 danc|2 dead|1 bring|2 close|1 fight|1 star|1 kill|1 high|1 ooh|1 ride|2 street|2 bodi|1 told|1 first|1 beat|1 broken|3 game|1 fine|1 soon|1 rest|1 empti|1 pretti|1 tire|1 til|1 felt|1 push|1 drop|1 bout|2 bone|1 both|1 shut|1 stranger|3 note|1 candi|3 corps|1 ought|2 alley|3 blanket|1 ambit|1 gown|1 
TRAACHN128F1489601,Rock|Metal,i|8 the|13 you|1 and|3 a|1 it|2 not|1 is|8 of|6 your|8 on|2 we|2 am|6 be|1 have|1 so|1 this|6 with|1 just|5 like|1 time|1 one|3 never|2 from|3 say|4 life|11 back|3 could|1 look|1 where|1 world|1 been|1 again|5 onli|2 wo|1 were|1 end|2 last|1 stop|1 off|2 peopl|1 made|1 start|2 should|1 far|1 yes|2 wish|1 onc|2 might|1 round|1 road|1 trust|1 send|2 brain|4 exist|1 track|2 problem|1 band|1 singl|2 messag|1 bend|1 ran|1 illus|2 x4|1 list|1 wrist|1 vibe|2 solv|1 conclus|2 
TRAADLH12903CA70EE,Rock,the|5 to|1 and|2 a|3 me|1 it|2 not|1 in|1 is|1 that|3 have|1 so|1 when|1 time|1 how|1 our|1 world|1 or|1 still|2 about|1 over|1 head|1 burn|1 care|1 seem|2 cold|1 mani|1 war|2 everyon|1 hang|1 sinc|1 rule|1 famili|1 ignor|1 rage|1 forgotten|1 diseas|1 clue|1 alarm|1 threat|1 nuclear|2 
TRAADNA128F9331246,Blues,i|4 the|14 you|1 to|3 and|1 a|2 me|2 not|3 in|8 of|2 your|1 that|1 do|1 on|2 we|4 am|3 for|3 no|3 be|1 just|1 time|1 come|2 there|1 oh|1 one|1 see|1 got|5 never|1 ca|1 day|2 by|4 here|1 night|2 need|1 eye|2 an|1 wo|1 some|2 turn|1 noth|1 light|1 soul|1 free|1 other|1 lose|1 help|1 save|1 after|1 fool|1 kind|3 money|1 nobodi|1 blind|1 strong|1 somebodi|1 happen|1 lead|1 trust|1 tight|1 caught|8 rule|1 weak|1 whatev|1 sell|1 golden|1 dime|1 dollar|1 hurri|1 rescu|1 cheek|1 ray|1 bop|1 spare|1 sympathi|1 neon|1 strand|8 hustl|1 tooth|2 beggin|1 
